name,repo_name,rubric_1,rubric_1_feedback,rubric_2,rubric_2_feedback,rubric_3,rubric_3_feedback,rubric_4,rubric_4_feedback,rubric_5,rubric_5_feedback,rubric_6,rubric_6_feedback,rubric_7,rubric_7_feedback,rubric_8,rubric_8_feedback,rubric_9,rubric_9_feedback,total_score,pass
emran2602,lab-1-collaborative-software-development-20242510-emran2602,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
brennanb2025,lab-1-collaborative-software-development-20242510-brennanb2025,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
adampchen,lab-1-collaborative-software-development-20242510-adampchen,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
arojas1234,lab-1-collaborative-software-development-20242510-arojas1234,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
Jiho1211,lab-1-collaborative-software-development-20242510-Jiho1211,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,0,Incorrect Contributors format. Refer to page 22 in the instruction pdf.,0,Please submit reflections.md in the repo.,6,False
Annie-LAN,lab-1-collaborative-software-development-20242510-Annie-LAN,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
hyunbinjlee,lab-1-collaborative-software-development-20242510-hyunbinjlee,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Liuabi520,lab-1-collaborative-software-development-20242510-Liuabi520,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
clementkubica,lab-1-collaborative-software-development-20242510-clementkubica,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
LianhaoZ,lab-1-collaborative-software-development-20242510-LianhaoZ,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Jingze123,lab-1-collaborative-software-development-20242510-Jingze123,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
tigranb2,lab-1-collaborative-software-development-20242510-tigranb2,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
shutj3,lab-1-collaborative-software-development-20242510-shutj3,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,9,True
bspinrad,lab-1-collaborative-software-development-20242510-bspinrad,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
robertyang13,lab-1-collaborative-software-development-20242510-robertyang13,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
AnnaRoseJones,lab-1-collaborative-software-development-20242510-AnnaRoseJones,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,1,Pass,8,False
Adrian-DH,lab-1-collaborative-software-development-20242510-Adrian-DH,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,1,Pass,0,README.md doesn't contain the link to the PR that shows you have resolved a merge conflict.,1,Pass,0,Please submit reflections.md in the repo.,7,False
